2017 Chat ID,2017 # of unpuncutated questions,2018 Chat ID,2018 # of unpuncutate questions,2019 Chat ID,2019 # of unpuncutate questions,Kaggle ID,Kaggle # of unpuncuated questions
934,0,550,1,1523,1,747,0
935,0,551,0,1524,0,748,0
936,0,552,0,1525,0,749,0
937,0,553,1,1526,0,750,0
938,0,554,1,1527,0,751,0
939,0,555,0,1528,0,752,0
940,0,556,0,1529,0,753,0
941,0,557,0,1530,0,754,0
942,0,558,1,1531,1,755,0
943,0,559,0,1532,0,756,0
944,0,560,0,1533,0,757,1
945,0,561,1,1534,0,758,0
946,0,562,0,1535,0,759,0
947,0,563,0,1536,2,760,0
948,1,564,0,1537,0,761,0
949,0,565,1,1538,1,762,0
950,3,566,0,1539,0,763,1
951,0,567,0,1540,0,764,0
952,0,568,3,1541,0,765,0
953,1,569,0,1542,0,766,1
954,0,570,0,1543,0,767,0
955,0,571,1,1544,0,768,0
956,0,572,0,1545,0,769,0
957,0,573,1,1546,1,770,0
958,0,574,0,1547,3,771,0
959,0,575,2,1548,0,772,0
960,0,576,0,1549,0,773,0
961,0,577,1,1550,0,774,0
962,0,578,1,1551,0,775,0
963,0,579,1,1552,0,776,0
964,0,580,0,1553,0,777,0
965,0,581,0,1554,0,778,0
966,0,582,0,1555,1,779,0
967,0,583,2,1556,0,780,0
968,0,584,0,1557,0,781,0
969,0,585,0,1558,1,782,0
970,0,586,0,1559,1,783,0
971,0,587,0,1560,0,784,0
972,0,588,0,1561,0,785,0
973,0,589,0,1562,0,786,0
974,0,590,0,1563,0,787,0
975,0,591,0,1564,0,788,0
976,6,592,3,1565,0,789,0
977,0,593,0,1566,0,790,0
978,0,594,0,1567,0,791,0
979,0,595,0,1568,1,792,0
980,0,596,0,1569,0,793,0
981,0,597,0,1570,0,794,0
982,0,598,0,1571,0,795,0
983,0,599,0,1572,0,796,0
984,0,600,1,1573,0,797,0
985,0,601,0,1574,0,798,0
986,0,602,0,1575,1,799,1
987,0,603,0,1576,0,800,0
988,0,604,0,1577,0,801,0
989,0,605,0,1578,2,802,0
990,0,606,0,1579,0,803,1
991,0,607,0,1580,0,804,0
992,0,608,0,1581,0,805,0
993,0,609,1,1582,0,806,0
994,0,610,0,1583,0,807,0
995,1,611,0,1584,0,808,0
996,2,612,0,1585,0,809,0
997,0,613,0,1586,1,810,0
998,0,614,0,1587,0,811,0
999,0,615,0,1588,0,812,0
1000,0,616,0,1589,0,813,1
1001,0,617,0,1590,1,814,1
1002,0,618,0,1591,0,815,0
1003,1,619,1,1592,0,816,0
1004,0,620,0,1593,1,817,0
1005,0,621,0,1594,1,818,0
1006,0,622,0,1595,0,819,1
1007,0,623,2,1596,0,820,1
1008,0,624,1,1597,1,821,1
1009,0,625,0,1598,0,822,0
