conv_id,#_messages,#_authors
1,1,1
2,17,4
3,12,3
4,20,4
5,1,1
6,6,1
7,5,2
8,1,1
9,5,2
10,2,2
11,9,3
12,40,3
13,1,1
14,1,1
15,39,4
16,8,4
17,9,3
18,2,1
19,26,4
20,11,5
21,1,1
22,2,1
23,6,3
24,17,7
25,1,1
26,1,1
27,4,2
28,11,2
29,5,2
30,2,2
31,8,4
32,1,1
33,12,5
34,1,1
35,7,2
36,7,2
37,6,3
38,17,3
39,132,10
40,3,2
41,17,5
42,6,2
43,3,2
44,23,5
45,1,1
46,89,5
47,1,1
48,9,5
49,1,1
50,12,3
51,2,2
52,4,1
53,2,1
54,1,1
55,3,2
56,3,2
57,9,4
58,1,1
59,8,2
60,9,4
61,2,2
62,3,3
63,39,4
64,7,2
65,1,1
66,6,3
67,1,1
68,11,4
69,2,2
70,1,1
71,14,4
72,2,1
73,21,3
74,3,1
75,1,1
76,17,5
77,2,2
78,15,3
79,4,2
80,10,3
81,1,1
82,59,9
83,13,2
84,2,2
85,11,3
86,1,1
87,1,1
88,10,2
89,11,4
90,6,3
91,24,4
92,1,1
93,82,9
94,39,7
95,35,10
96,2,1
97,2,2
98,3,3
99,1,1
100,2,2
101,15,4
102,1,1
103,34,4
104,9,4
105,1,1
106,5,3
107,2,2
108,26,7
109,2,1
110,36,11
111,1,1
112,2,2
113,49,4
114,1,1
115,24,3
116,14,4
117,2,2
118,5,2
119,15,2
120,1,1
121,12,2
122,7,2
123,54,6
124,3,1
125,1,1
126,3,2
127,8,4
128,2,2
129,2,2
130,7,3
131,43,5
132,8,4
133,6,3
134,1,1
135,8,3
136,6,2
137,5,3
138,8,3
139,12,4
140,3,2
141,8,4
142,1,1
143,4,3
144,5,3
145,15,3
146,2,1
147,2,1
148,1,1
149,18,5
150,7,5
151,101,9
152,1,1
153,1,1
154,2,1
155,73,6
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,20,3
162,3,2
163,8,5
164,1,1
165,5,3
166,1,1
167,3,1
168,5,2
169,9,4
170,7,2
171,1,1
172,11,3
173,32,4
174,11,2
175,5,3
176,1,1
177,2,1
178,2,1
179,9,4
180,1,1
181,3,3
182,3,2
183,3,1
184,2,1
185,16,4
186,2,1
187,7,2
188,1,1
189,1,1
190,23,4
191,2,1
192,7,2
193,29,4
194,6,3
195,25,6
196,1,1
197,10,2
198,129,8
199,1,1
200,1,1
201,5,2
202,3,1
203,33,4
204,4,2
205,1,1
206,2,1
207,14,2
208,2,2
209,3,1
210,5,2
211,7,3
212,47,3
213,12,4
214,80,6
215,1,1
216,1,1
217,4,2
218,102,9
219,2,1
220,4,2
221,19,2
222,93,5
223,1,1
224,3,2
225,62,5
226,1,1
227,1,1
228,4,2
229,6,5
230,1,1
231,6,4
232,6,3
233,1,1
234,30,3
235,10,2
236,13,2
237,6,2
238,47,4
239,8,4
240,3,2
241,5,3
242,1,1
243,34,4
244,34,6
245,8,4
246,30,3
247,3,2
248,3,2
249,7,4
250,1,1
251,9,3
252,7,3
253,24,5
254,3,2
255,24,3
256,6,2
257,5,2
258,2,1
259,1,1
260,1,1
261,5,2
262,2,2
263,6,2
264,17,4
265,45,6
266,4,2
267,22,2
268,2,2
269,2,1
270,3,2
271,32,5
272,6,5
273,15,6
274,1,1
275,22,3
276,40,4
277,4,3
278,31,6
279,3,2
280,11,4
281,4,3
282,25,3
283,58,6
284,5,2
285,12,3
286,1,1
287,1,1
288,5,2
289,33,7
290,39,7
291,1,1
292,1,1
293,12,4
294,9,4
295,1,1
296,8,3
297,6,3
298,3,2
299,20,5
300,2,2
301,1,1
302,5,2
303,6,1
304,2,1
305,35,3
306,16,3
307,18,5
308,2,1
309,5,2
310,1,1
311,15,5
312,1,1
313,9,2
314,9,4
315,2,1
316,6,3
317,1,1
318,61,3
319,1,1
320,17,5
321,2,2
322,2,1
323,7,2
324,8,2
325,1,1
326,1,1
327,31,4
328,3,2
329,2,1
330,18,4
331,4,3
332,1,1
333,8,3
334,32,5
335,2,2
336,4,3
337,22,3
338,44,3
339,1,1
340,6,2
341,1,1
342,4,1
343,3,1
344,1,1
345,1,1
346,21,2
347,2,1
348,2,1
349,2,1
350,26,5
351,8,3
352,76,14
353,2,2
354,1,1
355,9,3
356,59,9
357,2,1
358,14,2
359,13,4
360,3,2
361,19,7
362,6,3
363,1,1
364,1,1
365,38,3
366,1,1
367,8,2
368,1,1
369,65,3
370,1,1
371,11,2
372,7,4
373,1,1
374,12,2
375,86,4
376,2,2
377,3,2
378,3,3
379,6,3
380,4,3
381,5,2
382,4,3
383,2,2
384,15,3
385,3,1
386,3,2
387,1,1
388,1,1
389,11,2
390,1,1
391,1,1
392,1,1
393,7,2
394,60,2
395,1,1
396,13,3
397,1,1
398,1,1
399,6,2
400,3,2
401,2,2
402,2,2
403,35,7
404,1,1
405,1,1
406,2,1
407,2,1
408,3,2
409,2,2
410,12,5
411,15,3
412,4,2
413,1,1
414,20,2
415,15,3
416,22,4
417,3,3
418,1,1
419,14,3
420,71,8
421,2,2
422,12,3
423,89,9
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,27,7
430,1,1
431,4,3
432,115,11
433,3,2
434,1,1
435,63,9
436,6,3
437,29,3
438,1,1
439,1,1
440,11,2
441,6,2
442,4,1
443,2,2
444,3,1
445,25,4
446,1,1
447,3,2
448,9,3
449,6,3
450,3,3
451,60,5
452,2,2
453,1,1
454,12,4
455,19,7
456,13,3
457,18,3
458,52,12
459,1,1
460,1,1
461,3,3
462,8,3
463,3,1
464,7,2
465,2,2
466,1,1
467,7,2
468,36,12
469,2,1
470,1,1
471,1,1
472,3,1
473,1,1
474,86,7
475,1,1
476,1,1
477,1,1
478,2,2
479,17,4
480,1,1
481,4,2
482,1,1
483,4,2
484,1,1
485,41,6
486,3,2
487,3,2
488,2,2
489,8,2
490,2,2
491,39,4
492,1,1
493,1,1
494,64,5
495,4,1
496,1,1
497,59,7
498,3,2
499,4,2
500,7,2
501,42,2
502,1,1
503,20,3
504,1,1
505,29,2
506,1,1
507,5,1
508,80,8
509,1,1
510,2,2
511,1,1
512,2,2
513,4,2
514,5,1
515,4,2
516,7,3
517,12,4
518,1,1
519,14,2
520,4,2
521,3,1
522,10,4
523,2,1
524,18,2
525,6,3
526,79,11
527,1,1
528,2,2
529,94,5
530,5,3
531,76,4
532,1,1
533,22,7
534,2,2
535,1,1
536,14,3
537,20,4
538,11,3
539,5,2
540,17,5
541,3,3
542,3,2
543,3,2
544,5,3
545,10,3
546,4,2
547,4,3
548,1,1
549,5,2
550,4,2
551,9,2
552,7,4
553,1,1
554,14,4
555,1,1
556,16,3
557,37,4
558,1,1
559,6,3
560,90,10
561,2,2
562,3,2
563,4,3
564,9,3
565,9,3
566,4,2
567,1,1
568,12,4
569,1,1
570,38,5
571,67,3
572,73,4
573,2,1
574,1,1
575,3,1
576,1,1
577,26,4
578,8,2
579,15,8
580,2,2
581,6,3
582,7,3
583,11,3
584,1,1
585,2,1
586,3,1
587,8,2
588,1,1
589,3,2
590,1,1
591,8,1
592,6,4
593,2,1
594,6,2
595,2,1
596,6,2
597,1,1
598,1,1
599,1,1
600,21,4
601,7,3
602,10,2
603,13,6
604,3,2
605,12,2
606,2,1
607,3,2
608,10,2
609,3,2
610,1,1
611,6,3
612,5,1
613,1,1
614,1,1
615,22,5
616,4,2
617,14,4
618,5,3
619,2,1
620,8,5
