Chat ID,# of unpuncutate questions
1523,1
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,1
1532,0
1533,0
1534,0
1535,0
1536,2
1537,0
1538,1
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,1
1547,3
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,1
1556,0
1557,0
1558,1
1559,1
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,1
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,1
1576,0
1577,0
1578,2
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,1
1587,0
1588,0
1589,0
1590,1
1591,0
1592,0
1593,1
1594,1
1595,0
1596,0
1597,1
1598,0
