Kaggle ID,Kaggle # of unpuncuated questions
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,1
814,1
815,0
816,0
817,0
818,0
819,1
820,1
821,1
822,0
