conv_id,#_questions,#_txt_spk,#_messages,#_authors
1,0,0,1,1
2,1,0,17,4
3,2,1,12,3
4,5,0,20,4
5,0,0,1,1
6,0,0,6,1
7,3,0,5,2
8,1,0,1,1
9,0,0,5,2
10,1,0,2,2
11,0,0,9,3
12,10,0,40,3
13,0,0,1,1
14,1,0,1,1
15,5,2,39,4
16,5,2,8,4
17,0,1,9,3
18,0,0,2,1
19,3,0,26,4
20,1,0,11,5
21,0,0,1,1
22,0,0,2,1
23,1,0,6,3
24,2,0,17,7
25,0,0,1,1
26,1,0,1,1
27,0,0,4,2
28,2,0,11,2
29,1,0,5,2
30,1,0,2,2
31,2,0,8,4
32,0,0,1,1
33,2,0,12,5
34,0,0,1,1
35,2,0,7,2
36,0,0,7,2
37,2,0,6,3
38,4,0,17,3
39,18,0,132,10
40,0,0,3,2
41,2,0,17,5
42,1,0,6,2
43,0,0,3,2
44,3,2,23,5
45,0,0,1,1
46,18,0,89,5
47,0,0,1,1
48,4,0,9,5
49,1,0,1,1
50,1,0,12,3
